,아파트명,매매가(억),전세가(억),전세가율,시공일자,가압류,압류,신탁,소유권이전,임차권등기명령,근저당,근저당정규화,지역,시공일자_datetime,시공일자_년도,label
11,세움아파트,1.946,0.75,0.385405961,2017-06-27 00:00:00,0,0,0,0,0,1.51,1.161356629,인천 미추홀구 숭의동 187-50,2017-06-27 00:00:00,2017,1
12,행복타운,1.26,0.58,0.46031746,2015-05-29 00:00:00,0,0,0,0,0,1.34,1.523809524,인천 미추홀구 도화동 642-6,2015-05-29 00:00:00,2015,1
13,행복캐슬,1.18,0.75,0.63559322,2014-08-22 00:00:00,1,0,0,0,0,1.196,1.649152542,인천 미추홀구 숭의동 122-3,2014-08-22 00:00:00,2014,1
14,한마음 아파트,1.45,0.62,0.427586207,2017-01-23 00:00:00,0,0,0,0,0,1.416,1.404137931,인천광역시 미추홀구 숭의동 353-21,2017-01-23 00:00:00,2017,1
15,새힘아파트,1.26,0.68,0.53968254,2016-05-30 00:00:00,0,1,0,0,0,1.404,1.653968254,인천광역시 미추홀구 숭의동 1-87,2016-05-30 00:00:00,2016,1
16,권선하우스(202호),2.7,1.85,0.685185185,2019-10-14 00:00:00,0,0,0,0,0,18,7.351851852,수원 권선구 권선동 988-3,2019-10-14 00:00:00,2019,1
17,미리내오피스텔(402호),1.47,1.45,0.986394558,2019-04-05 00:00:00,1,1,0,1,1,0,0.986394558,서울 강서구 화곡동 937-12,2019-04-05 00:00:00,2019,1
18,올레오아파트(303호),1.29,0.75,0.581395349,2015-03-06 00:00:00,0,1,0,0,0,1.308,1.595348837,인천 미추홀구 주안동 94-3,2015-03-06 00:00:00,2015,1
19,토브하우스(304호),1.13,1.99,1.761061947,2018-09-05 00:00:00,0,0,0,1,1,0,1.761061947,서울 구로구 개봉동 318-12,2018-09-05 00:00:00,2018,1
20,주은스카이빌(1002호),1.32,0.9,0.681818182,2014-09-29 00:00:00,0,0,0,0,0,1.235,1.617424242,인천 미추홀구 주안동 230-6,2014-09-29 00:00:00,2014,1
21,성우아파트(1201호),1.34,0.97,0.723880597,2015-11-13 00:00:00,0,0,0,0,0,1.32,1.708955224,인천 미추홀구 주안동 229-7,2015-11-13 00:00:00,2015,1
22,세움캐슬(1301호),1.5,0.83,0.553333333,2018-04-11 00:00:00,0,1,0,0,0,1.416,1.497333333,인천 미추홀구 숭의동 164-17,2018-04-11 00:00:00,2018,1
23,"새빛타운(102동,1303호)",1.65,0.85,0.515151515,2019-04-18 00:00:00,0,1,0,0,0,1.608,1.48969697,인천 미추홀구 숭의동 388-6,2019-04-18 00:00:00,2019,1
24,"새빛타운(101동,1402호)",1.79,0.73,0.407821229,2019-04-18 00:00:00,0,0,0,0,0,1.824,1.426815642,인천 미추홀구 숭의동 388-2,2019-04-18 00:00:00,2019,1
25,에쓰갤러리(701호),1.09,0.6,0.550458716,2014-07-11 00:00:00,0,1,0,1,0,1.053,1.516513761,인천 미추홀구 숭의동 159-26,2014-07-11 00:00:00,2014,1
26,주은캐슬(402호),1.25,0.7,0.56,2013-05-14 00:00:00,0,1,0,0,0,1.183,1.5064,인천 미추홀구 주안동 69-25,2013-05-14 00:00:00,2013,1
27,더존아파트(1004호),1.57,1,0.636942675,2018-03-02 00:00:00,0,0,0,0,1,1.44,1.554140127,인천 미추홀구 숭의동 346-35,2018-03-02 00:00:00,2018,1
28,대영아파트(904호),1.46,0.79,0.54109589,2017-06-30 00:00:00,0,0,0,0,0,1.4924,1.563287671,인천 미추홀구 도화동 440-1,2017-06-30 00:00:00,2017,1
29,토브하우스(502호),1.18,2.55,2.161016949,2018-09-23 00:00:00,0,1,1,1,1,0,2.161016949,서울 구로구 개봉동 318-12,2018-09-23 00:00:00,2018,1
30,미리내오피스텔(502호),1.5,1.5,1,2019-04-05 00:00:00,1,1,0,0,1,0,1,서울 강서구 화곡동 937-12,2019-04-05 00:00:00,2019,1
31,주은스카이빌(801호),1.33,1,0.751879699,2014-09-29 00:00:00,0,0,0,0,0,1.235,1.680451128,인천 미추홀구 주안동 230-6,2014-09-29 00:00:00,2014,1
32,에쓰갤러리(501호),1.09,0.61,0.559633028,2014-07-11 00:00:00,0,1,0,0,0,1.053,1.525688073,인천 미추홀구 숭의동 159-26,2014-07-11 00:00:00,2014,1
33,"새빛타운(102동,1401호)",1.73,0.9,0.520231214,2019-04-18 00:00:00,0,1,0,0,0,1.764,1.539884393,인천 미추홀구 숭의동 388-6,2019-04-18 00:00:00,2019,1
34,대명아파트(1405호),1.78,0.78,0.438202247,2016-08-11 00:00:00,0,0,0,0,0,1.2415,1.135674157,인천 미추홀구 주안동 622-1,2016-08-11 00:00:00,2016,1
35,새힘아파트(802),1.26,0.95,0.753968254,2016-05-30 00:00:00,0,0,0,0,1,1.404,1.868253968,미추홀구 숭의동 1-87,2016-05-30 00:00:00,2016,1
36,신화파크빌(202호),1.42,1.42,1,2010-06-14 00:00:00,0,1,0,0,1,0,1,인천광역시 서구 석남동 203-9,2010-06-14 00:00:00,2010,1
37,원주단관8차청솔아파트,1.12,0.85,0.758928571,2002-11-30 00:00:00,0,0,0,0,0,0.286,1.014285714,강원 원주시 관설동 1713-2,2002-11-30 00:00:00,2002,1
38,동산힐(201호),2.46,2.4,0.975609756,2016-06-07 00:00:00,0,0,0,0,0,0,0.975609756,서울특별시 중랑구 용마산로 102길 27-11,2016-06-07 00:00:00,2016,1
39,라뜰리에,2.23,2.69,1.206278027,2019-02-26 00:00:00,1,1,0,0,1,13.44,7.233183857,서울 강서구 화곡동 98-81,2019-02-26 00:00:00,2019,1
40,우성,2.6,2.6,1,2017-11-03 00:00:00,1,1,0,0,1,0,1,서울 강서구 화곡동 408-86,2017-11-03 00:00:00,2017,1
41,덕용팰리체,1.79,2.25,1.25698324,2019-03-08 00:00:00,1,1,0,0,1,20.4,12.65363128,서울 강서구 화곡동 360-2,2019-03-08 00:00:00,2019,1
42,더누림,2.1,2.24,1.066666667,2018-09-17 00:00:00,1,0,0,0,1,0,1.066666667,서울 강서구 화곡동 1041-16,2018-09-17 00:00:00,2018,1
43,수림하우스(연제구 거제동),1,0.8,0.8,2019-06-28 00:00:00,1,0,0,0,1,0.8625,1.6625,부산광역시 연제구 거제대로124번길 40,2019-06-28 00:00:00,2019,1
44,LK드림빌,2.35,2.27,0.965957447,2019-03-14 00:00:00,0,1,0,0,1,0,0.965957447,서울 강서구 화곡동 458-25,2019-03-14 00:00:00,2019,1
45,남광아파트,2.1,2.1,1,2017-04-07 00:00:00,1,1,0,0,0,0,1,서울 강서구 화곡동 920-15,2017-04-07 00:00:00,2017,1
46,하나아이파크빌,2.24,2.3,1.026785714,2019-03-15 00:00:00,1,0,0,0,1,0,1.026785714,서울 강서구 화곡동 162-7,2019-03-15 00:00:00,2019,1
47,아줄리움,1.64,1.65,1.006097561,2016-07-01 00:00:00,1,1,0,0,1,0,1.006097561,서울 강서구 화곡동 1038-13,2016-07-01 00:00:00,2016,1
48,대성아트빌 ,2.11,2.29,1.085308057,2019-01-09 00:00:00,1,1,0,0,1,0,1.085308057,서울 강서구 화곡동 392-17,2019-01-09 00:00:00,2019,1
49,까사지오,1.68,2.15,1.279761905,2019-04-03 00:00:00,1,1,0,0,1,0,1.279761905,서울 강서구 방화동 249-313,2019-04-03 00:00:00,2019,1
50,이도트라움2,2.37,2.49,1.050632911,2018-11-15 00:00:00,1,1,0,0,0,0,1.050632911,서울 강서구 화곡동 366-32,2018-11-15 00:00:00,2018,1
51,미성하르딘,2.07,2.19,1.057971014,2018-01-16 00:00:00,0,0,0,0,1,0,1.057971014,서울 강서구 화곡동 1102-5,2018-01-16 00:00:00,2018,1
52,아줄리움(등촌동),2.92,2.92,1,2019-06-26 00:00:00,1,1,0,0,1,0,1,서울 강서구 등촌동 637-16,2019-06-26 00:00:00,2019,1
53,와이앤비,2.42,2.75,1.136363636,2018-07-17 00:00:00,1,1,0,0,1,0,1.136363636,서울 강서구 화곡동 61-111,2018-07-17 00:00:00,2018,1
54,청송평화헬스하우스,2.13,2.12,0.995305164,2018-02-19 00:00:00,0,0,0,0,1,0,0.995305164,서울 강서구 화곡동 341-50,2018-02-19 00:00:00,2018,1
55,남성아트빌,2.6,2.4,0.923076923,2013-12-27 00:00:00,0,0,0,0,1,0,0.923076923,서울 강서구 화곡동 166-35,2013-12-27 00:00:00,2013,1
56,보람홈타운,2.02,2.7,1.336633663,2018-05-02 00:00:00,0,0,0,0,1,0,1.336633663,서울 강서구 방화동 482-4,2018-05-02 00:00:00,2018,1
57,블루힐,2.1,2.35,1.119047619,2019-05-27 00:00:00,1,1,0,0,1,0,1.119047619,서울 강서구 화곡동 841-5,2019-05-27 00:00:00,2019,1
58,대아빌라,1.79,1.79,1,1993-03-02 00:00:00,0,0,0,1,1,0,1,서울 강서구 화곡동 820-1,1993-03-02 00:00:00,1993,1
59,한울뜨란채,1.5,1.5,1,2011-11-02 00:00:00,1,1,0,0,0,1.68,2.12,서울 강서구 화곡동 852-2,2011-11-02 00:00:00,2011,1
60,경민아트빌,1.9,1.9,1,2018-04-19 00:00:00,1,1,0,0,1,0,1,서울 강서구 화곡동 368-23,2018-04-19 00:00:00,2018,1
61,다안빌라트,2.3,2.2,0.956521739,2016-01-14 00:00:00,1,1,0,0,1,0,0.956521739,서울 강서구 화곡동 870-60,2016-01-14 00:00:00,2016,1
62,성우리치빌,0.77,0.77,1,2002-07-05 00:00:00,1,1,0,0,1,0.612,1.794805195,서울 강서구 화곡동 56-667,2002-07-05 00:00:00,2002,1
63,미루하우스2차,2.09,2.09,1,2011-05-26 00:00:00,0,0,0,0,1,0,1,서울 강서구 화곡동 1015-7,2011-05-26 00:00:00,2011,1
64,감성빌,2.25,2.25,1,2016-07-12 00:00:00,1,1,0,0,1,0,1,서울 강서구 화곡동 424-69,2016-07-12 00:00:00,2016,1
65,도무스힐르,1.8,1.8,1,2019-06-21 00:00:00,1,1,0,0,0,0,1,서울 강서구 화곡동 56-93,2019-06-21 00:00:00,2019,1
66,남광아트빌,1.6,1.6,1,2012-03-30 00:00:00,0,0,0,0,0,0,1,서울 강서구 화곡동 1047-33,2012-03-30 00:00:00,2012,1
